,AppID,Name,Supported languages,Release date,Windows,Mac,Linux,Categories,Tags,Genres,metadata_win,metadata_linux,metadata_mac,full_metadata
12811,1734610,Robosnow,English,"Sep 9, 2021",True,False,False,Single-player,"Racing,Third Person,Runner,Singleplayer,Snow",Racing, Windows , , ,Robosnow English Single-player Racing Third Person Runner Singleplayer Snow Racing  Windows     
25513,1229460,Dice Legacy,English French Italian German Spanish - Spain Russian Traditional Chinese Japanese Korean Polish Simplified Chinese Portuguese - Brazil,"Sep 9, 2021",True,False,False,"Single-player,Steam Achievements,Steam Trading Cards","City Builder,Survival,Strategy,Rogue-like,Real-Time,RTS,Board Game,Indie,Colony Sim,Rogue-lite,Management,Colorful,Atmospheric,Resource Management,Procedural Generation,Base-Building,Medieval,Building,Crafting,Exploration","Indie,Strategy", Windows , , ,Dice Legacy English French Italian German Spanish - Spain Russian Traditional Chinese Japanese Korean Polish Simplified Chinese Portuguese - Brazil Single-player Steam Achievements Steam Trading Cards City Builder Survival Strategy Rogue-like Real-Time RTS Board Game Indie Colony Sim Rogue-lite Management Colorful Atmospheric Resource Management Procedural Generation Base-Building Medieval Building Crafting Exploration Indie Strategy  Windows     
869,1388330,Hermes: Sibyls' Prophecy,English German Russian,"Sep 9, 2020",True,False,False,"Single-player,Steam Achievements,Steam Cloud","Casual,Adventure,Strategy,Management,Time Management,Cute,Colorful,Atmospheric,Family Friendly,Magic,Time Manipulation,Building,Resource Management,Singleplayer","Adventure,Casual,Strategy", Windows , , ,Hermes: Sibyls  Prophecy English German Russian Single-player Steam Achievements Steam Cloud Casual Adventure Strategy Management Time Management Cute Colorful Atmospheric Family Friendly Magic Time Manipulation Building Resource Management Singleplayer Adventure Casual Strategy  Windows     
15611,1301620,Cross Princess,Simplified Chinese English,"Sep 9, 2020",True,False,False,"Single-player,Steam Achievements,Steam Cloud","Casual,Adventure,Visual Novel,Nudity,Indie,Sexual Content,Dating Sim,Cute,Singleplayer,Anime,2D,Drama,Linear,LGBTQ+","Adventure,Casual,Indie", Windows , , ,Cross Princess Simplified Chinese English Single-player Steam Achievements Steam Cloud Casual Adventure Visual Novel Nudity Indie Sexual Content Dating Sim Cute Singleplayer Anime 2D Drama Linear LGBTQ+ Adventure Casual Indie  Windows     
28095,1381590,Tokyo Re:Connect Prologue,English Japanese,"Sep 9, 2020",True,False,False,Single-player,"Visual Novel,Anime,RPG,Story Rich,Cute,Romance,Multiple Endings,Choices Matter,Point & Click,Dating Sim,Casual,2D,Colorful,Emotional,Narration,Funny,Family Friendly,Conversation,Relaxing,Singleplayer","Casual,Indie", Windows , , ,Tokyo Re:Connect Prologue English Japanese Single-player Visual Novel Anime RPG Story Rich Cute Romance Multiple Endings Choices Matter Point & Click Dating Sim Casual 2D Colorful Emotional Narration Funny Family Friendly Conversation Relaxing Singleplayer Casual Indie  Windows     
26139,1347460,Dark Cards,English Simplified Chinese Traditional Chinese Japanese,"Sep 9, 2020",True,True,False,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud","Strategy,Casual,RPG,Card Game,Turn-Based Strategy,Strategy RPG,Rogue-lite,Card Battler,Hand-drawn,Aliens,Sci-fi,Futuristic,Robots,Mythology,Atmospheric,Turn-Based Combat,Multiple Endings,Deckbuilding,Singleplayer,Indie","Indie,Strategy", Windows , , Mac ,Dark Cards English Simplified Chinese Traditional Chinese Japanese Single-player Multi-player PvP Online PvP Cross-Platform Multiplayer Steam Achievements Steam Cloud Strategy Casual RPG Card Game Turn-Based Strategy Strategy RPG Rogue-lite Card Battler Hand-drawn Aliens Sci-fi Futuristic Robots Mythology Atmospheric Turn-Based Combat Multiple Endings Deckbuilding Singleplayer Indie Indie Strategy  Windows     Mac 
1569,808980,Rose Seed Replica,English,"Sep 9, 2020",True,False,True,"Single-player,Steam Achievements,Full controller support","LGBTQ+,Adventure,Romance,Story Rich,Choices Matter,Dating Sim,Point & Click,Sci-fi,Pixel Graphics,Sexual Content,Indie,Anime,Funny,Singleplayer","Adventure,Indie", Windows , Linux , ,Rose Seed Replica English Single-player Steam Achievements Full controller support LGBTQ+ Adventure Romance Story Rich Choices Matter Dating Sim Point & Click Sci-fi Pixel Graphics Sexual Content Indie Anime Funny Singleplayer Adventure Indie  Windows   Linux   
23175,1363250,MAGIX Video deluxe 2021 Plus Steam Edition,English French German Spanish - Spain,"Sep 9, 2020",True,False,False,,Video Production,Video Production, Windows , , ,MAGIX Video deluxe 2021 Plus Steam Edition English French German Spanish - Spain  Video Production Video Production  Windows     
3841,1382370,ProjectTeo,English French Italian German Spanish - Spain Arabic Bulgarian Portuguese - Brazil Hungarian Vietnamese Greek Danish Spanish - Latin America Traditional Chinese Simplified Chinese Korean Dutch Norwegian Polish Portuguese Romanian Russian Thai Turkish Ukrainian Finnish Czech Swedish Japanese,"Sep 9, 2020",True,False,False,"Single-player,Steam Achievements","Casual,Action,Puzzle,Arcade,Exploration,Platformer,Action-Adventure,Rogue-like,2D Platformer,Side Scroller,Puzzle-Platformer,2D,Cute,Stylized,1980s,1990's,Atmospheric,Dark,Old School,Retro","Action,Adventure,Casual,Indie", Windows , , ,ProjectTeo English French Italian German Spanish - Spain Arabic Bulgarian Portuguese - Brazil Hungarian Vietnamese Greek Danish Spanish - Latin America Traditional Chinese Simplified Chinese Korean Dutch Norwegian Polish Portuguese Romanian Russian Thai Turkish Ukrainian Finnish Czech Swedish Japanese Single-player Steam Achievements Casual Action Puzzle Arcade Exploration Platformer Action-Adventure Rogue-like 2D Platformer Side Scroller Puzzle-Platformer 2D Cute Stylized 1980s 1990 s Atmospheric Dark Old School Retro Action Adventure Casual Indie  Windows     
32124,1097840,Gears 5,English French Italian German Spanish - Spain Arabic Japanese Korean Polish Portuguese - Brazil Russian Simplified Chinese Spanish - Latin America Traditional Chinese Turkish,"Sep 9, 2019",True,False,False,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support,Steam Cloud,Includes level editor","Action,Adventure,Third-Person Shooter,Multiplayer,Co-op,Singleplayer,Gore,Shooter,Violent,Female Protagonist,Hero Shooter,Open World,Co-op Campaign,Third Person,Sci-fi,Story Rich,Split Screen,Local Co-Op,Mature,Horror","Action,Adventure", Windows , , ,Gears 5 English French Italian German Spanish - Spain Arabic Japanese Korean Polish Portuguese - Brazil Russian Simplified Chinese Spanish - Latin America Traditional Chinese Turkish Single-player Multi-player PvP Online PvP Shared/Split Screen PvP Co-op Online Co-op Shared/Split Screen Co-op Shared/Split Screen Cross-Platform Multiplayer Steam Achievements Steam Trading Cards Captions available In-App Purchases Partial Controller Support Steam Cloud Includes level editor Action Adventure Third-Person Shooter Multiplayer Co-op Singleplayer Gore Shooter Violent Female Protagonist Hero Shooter Open World Co-op Campaign Third Person Sci-fi Story Rich Split Screen Local Co-Op Mature Horror Action Adventure  Windows     
2129,946860,Stamp Boy / 跳跳小子,English Simplified Chinese German Russian,"Sep 9, 2019",True,True,True,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Indie,Action,Casual,Adventure,Platformer,2D,Retro,Pixel Graphics,Singleplayer,Cute,GameMaker","Action,Adventure,Casual,Indie", Windows , Linux , Mac ,Stamp Boy / 跳跳小子 English Simplified Chinese German Russian Single-player Steam Achievements Full controller support Steam Cloud Steam Leaderboards Indie Action Casual Adventure Platformer 2D Retro Pixel Graphics Singleplayer Cute GameMaker Action Adventure Casual Indie  Windows   Linux   Mac 
10265,992700,Lighter,Simplified Chinese,"Sep 9, 2019",True,True,False,Single-player,"Adventure,Indie,RPG,Casual,Simulation,Visual Novel,Early Access,Dating Sim,Anime","Adventure,Casual,Indie,RPG,Simulation", Windows , , Mac ,Lighter Simplified Chinese Single-player Adventure Indie RPG Casual Simulation Visual Novel Early Access Dating Sim Anime Adventure Casual Indie RPG Simulation  Windows     Mac 
23639,1079160,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,Japanese,"Sep 9, 2019",True,False,False,"Single-player,Steam Cloud","Indie,Bullet Hell,Great Soundtrack,Faith,Shoot 'Em Up,Action,Female Protagonist,Difficult,Singleplayer,Anime,Arcade,2D,Cute,Lore-Rich,Fantasy,Story Rich,Memes","Action,Indie", Windows , , ,Touhou Kikeijuu ~ Wily Beast and Weakest Creature. Japanese Single-player Steam Cloud Indie Bullet Hell Great Soundtrack Faith Shoot  Em Up Action Female Protagonist Difficult Singleplayer Anime Arcade 2D Cute Lore-Rich Fantasy Story Rich Memes Action Indie  Windows     
10482,1016390,Perspectives: Paradise,English Finnish,"Sep 9, 2019",True,False,False,Single-player,"Simulation,Casual,Adventure,VR,Free to Play,VR Only","Adventure,Casual,Simulation", Windows , , ,Perspectives: Paradise English Finnish Single-player Simulation Casual Adventure VR Free to Play VR Only Adventure Casual Simulation  Windows     
